company_name,domain,tin,source,hubspot_checked,legal_name,hubspot_object_id,status,exists_in_hubspot,Score_1,sent_clay,error_message,reason_score1,pain_point1,segment,industri_sii,hubspot_lifecycle,hubspot_match_stage,manual_hubspot_checked,adjusted_vertical,enrichment_status,batch_id,batch_date,contacts_found,contacts_with_email,contacts_with_linkedin,ready_for_outreach,outreach_started_date,last_hs_activity_date,do_not_contact,signal,id,createdAt,updatedAt
EBI Chile,grupoebi.cl,76188317-8,webhook,True,EBI SERVICIOS INDUSTRIALES SPA,35531734332.0,"""exists_in_hubspot""",True,60,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 200 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts); giro de transporte no está bajo supervisión de CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimación de 50-200 proveedores (15 pts) por naturaleza operativa de empresa logística que requiere múltiples subcontratistas y proveedores de servicios. Sin señal externa reportada (0 pts).","Empresa de transporte de carga con 200 trabajadores gestiona múltiples proveedores y contratistas en operaciones logísticas complejas. Sin regulación explícita, enfrenta riesgo de incumplimiento contractual, validación de documentación dispersa y ausencia de monitoreo continuo de contrapartes.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,"""name""",,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,1969-12-31T06:00:00.000Z,,,358,2026-05-15T20:56:35.671Z,2026-05-25T16:00:23.653Z
MINING TAG SOCIEDAD ANONIMA,epiroc.com,76119409-7,webhook,True,MINING TAG SOCIEDAD ANONIMA,54560520514.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 151 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en actividades de apoyo para explotación de minas; estimación de 50-200 proveedores (15 pts) inferida por tamaño y complejidad operativa de faena minera; sin señal externa (0 pts).","Empresa de apoyo minero con 151 trabajadores gestiona múltiples contratistas y proveedores bajo regulación Sernageomin. Requiere validación continua de contrapartes, cumplimiento normativo en seguridad y explosivos, y monitoreo post-aprobación de proveedores críticos para operaciones.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,lead,"""domain""",,mining-hse,hs_deal_created,2026-W22,2026-05-25,5.0,5.0,5.0,True,,,,,287,2026-05-15T20:31:55.439Z,2026-05-25T16:00:52.347Z
Minera Franke,cenizas.cl,76051610-4,webhook,True,SOCIEDAD CONTRACTUAL MINERA FRANKE,9826815752.0,"""exists_in_hubspot""",True,73,True,,"gran empresa (20 pts), 1 empresas hijas (3 pts), 280 trabajadores (5 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en explotación de minas. Estimación 50-200 proveedores típicos en operación minera de este tamaño (15 pts). Sin señal externa (0 pts).","Operación minera con 280 trabajadores y estructura de holding requiere gestión rigurosa de contratistas y proveedores bajo supervisión Sernageomin. Cadena compleja de suministros, cumplimiento regulatorio continuo y renovaciones periódicas de proveedores demandan validación sistemática.",mining / energía,EXPLOTACION DE OTRAS MINAS Y CANTERAS N.C.P.,50020180,"""domain""",,mining-hse,skipped_hs_lifecycle | lifecycle: 50020180,2026-W21,2026-05-18,2.0,2.0,2.0,True,,2025-11-20T06:00:00.000Z,,,195,2026-05-15T20:00:21.134Z,2026-05-18T15:00:37.244Z
Medlog,medlog.com,76172595-5,webhook,True,MEDLOG CHILE S.A,22049471900.0,"""exists_in_hubspot""",True,78,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 433 trabajadores (5 pts), segmento (0 pts). Sin regulación sectorial específica (0 pts); transporte de carga no está bajo CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimación de 50-200 proveedores (15 pts) basada en operaciones de logística y transporte que típicamente requieren múltiples contrapartes operacionales. Sin señal externa registrada (0 pts).","Empresa de transporte de carga con 433 trabajadores y estructura de holding compleja maneja múltiples proveedores y contratistas. Requiere validación continua de documentación, poderes, antecedentes tributarios y licencias. Sin monitoreo sistemático, riesgo de trabajar con contrapartes irregulares o en situación de riesgo.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,50005795,"""domain""",,mfg-retail-hold,skipped_hs_lifecycle | lifecycle: 50005795,2026-W22,2026-05-25,4.0,2.0,4.0,True,,2025-08-25T08:00:00.000Z,,,341,2026-05-15T20:50:41.275Z,2026-05-25T15:00:54.789Z
Puerto Chincui,tmpatagonia.cl,76116759-6,webhook,True,PUERTO PUNTA CAULLAHUAPI S.A.,35582169155.0,"""exists_in_hubspot""",True,73,True,,"Gran empresa (20 pts), 4 empresas hijas (15 pts), 199 trabajadores (3 pts), segmento (0 pts). Sin regulación externa específica al giro de almacenamiento y depósito (0 pts); estimación de 50–200 proveedores típicos para operaciones portuarias (15 pts); sin señal externa reportada (0 pts).","Empresa portuaria con 199 empleados y 4 filiales gestiona múltiples contrapartes (operadores, transportistas, proveedores logísticos). Estructura holding compleja exige trazabilidad de poderes y documentación de terceros. Renovaciones periódicas y validación de cuentas bancarias críticas sin herramientas centralizadas.",utilities / infraestructura,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.,1151001700,"""domain""",,util-infra,skipped_hs_lifecycle | lifecycle: 1151001700,2026-W21,2026-05-18,,,,True,,2025-08-29T08:00:00.000Z,,,285,2026-05-15T20:31:13.097Z,2026-05-18T15:00:39.331Z
LAVEL INGENIERIA SPA,lavel.cl,76160478-3,webhook,True,LAVEL INGENIERIA SPA,31901856157.0,"""exists_in_hubspot""",True,81,True,,"gran empresa (20 pts), 2 empresas hijas (8 pts), 637 trabajadores (8 pts), segmento (0 pts). Sin regulación (0 pts) ya que el giro ""terminación y acabado de edificios"" es ingeniería civil y construcción sin supervisión regulatoria específica. Se estiman 50-200 proveedores (15 pts) considerando volumen operativo, naturaleza de proyectos construcción y subcontratos variados. Sin señal (0 pts) por ausencia de información externa.","Empresa constructora mediana con 637 trabajadores y estructura holding gestiona múltiples obras simultáneamente. Requiere validación continua de subcontratistas, proveedores de materiales y profesionales independientes. Riesgo de incumplimientos tributarios y laborales en cadena de suministro sin monitoreo sistematizado.",mining / energía,TERMINACION Y ACABADO DE EDIFICIOS,opportunity,"""domain""",,mfg-retail-hold,skipped_hs | lifecycle: opportunity | last_contact: 2026-04-27T08:00:00.000Z,2026-W21,2026-05-18,1.0,1.0,0.0,True,,2026-04-27T08:00:00.000Z,,,330,2026-05-15T20:46:50.785Z,2026-05-18T15:00:39.446Z
Amphos 21,amphos21.com,76047381-2,webhook,True,AMPHOS 21 CONSULTING CHILE LIMITADA,29162962519.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 136 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en ""explotación de minas y canteras""; estimación de 50-200 proveedores (15 pts) típica en servicios mineros con múltiples contratistas; sin señal externa (0 pts).","Empresa de servicios para minería maneja decenas de proveedores y contratistas con requisitos regulatorios estrictos de Sernageomin. Requiere validación continua de documentación, permisos y cumplimiento normativo en operaciones de alto riesgo.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,lead,"""domain""",,mining-hse,ready,2026-W22,2026-05-25,,,,True,,2025-02-12T06:00:00.000Z,,,187,2026-05-15T19:57:44.049Z,2026-05-25T15:00:55.186Z
Minera Haldeman,minerahmc.cl,76102677-1,webhook,True,MINERA HMC S.A.,26355290194.0,"""exists_in_hubspot""",True,76,True,,"Gran empresa (20 pts), 1 empresas hijas (3 pts), 785 trabajadores (8 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito de explotación minera; estimación de 50-200 proveedores típicos en operaciones de este tamaño (15 pts); sin señal externa registrada (0 pts).","Gran operación minera con 785 empleados y estructura holding compleja (3 matrices, 1 filial) requiere gestionar decenas de contratistas y proveedores bajo supervisión Sernageomin. Renovaciones periódicas de documentos, validación de poderes y monitoreo continuo de contrapartes en faena son críticos.",mining / energía,EXPLOTACION DE OTRAS MINAS Y CANTERAS N.C.P.,lead,"""domain""",,mining-hse,hs_deal_created,2026-W22,2026-05-25,1.0,0.0,1.0,True,,2025-06-23T08:00:00.000Z,,,267,2026-05-15T20:25:06.914Z,2026-05-25T16:00:59.280Z
Varmontt,varmontt.cl,76033213-5,webhook,True,EMPRESA DE TRANSPORTES VARMONTT LIMITADA,,"""does_not_exists_in_hubspot""",False,70,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 402 trabajadores (5 pts), segmento sin clasificar (0 pts). Sin regulación específica para transporte de carga por carretera (0 pts); estimación de 50-200 proveedores por complejidad operativa de flota y servicios asociados (15 pts); sin señal externa registrada (0 pts).","Empresa de transporte con 402 trabajadores gestiona múltiples proveedores (combustible, mantenimiento, repuestos, seguros) sin regulación formal que obligue compliance estructurado. Renovaciones periódicas de documentación, validación de poderes y cuentas bancarias se realizan manualmente. Riesgo operativo y financiero elevado sin monitoreo continuo de contrapartes.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-18,,,,True,,,,,161,2026-05-15T19:48:38.784Z,2026-05-18T15:00:11.599Z
PTH Grupo Ambiental,pthga.com,76139552-1,webhook,True,PTH GRUPO AMBIENTAL LIMITADA,55273909599.0,"""does_not_exists_in_hubspot""",True,62,True,,"mediana (12 pts), 3 empresas hijas (15 pts), 14 trabajadores (0 pts), segmento (0 pts). Sin regulación específica sectorial (0 pts), estimada entre 50-200 proveedores dada la naturaleza operativa de servicios ambientales (15 pts), sin señal externa registrada (0 pts).","Empresa con estructura de holding (3 filiales) y 14 trabajadores que gestiona servicios de descontaminación y residuos. Requiere validar múltiples proveedores de insumos, transporte y disposición final, con renovaciones periódicas y riesgo de incumplimientos tributarios.",mining / energía,ACTIVIDADES DE DESCONTAMINACION Y OTROS SERVICIOS DE GESTION DE DESECHOS,,,,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,,,,312,2026-05-15T20:40:36.142Z,2026-05-25T16:01:06.746Z
