Empresa,RUT,Origen,Segmento,num_hijos,num_padres,num_trabajadores,score_v0,vertical_v0,pain_v0,reasoning_v0,score_v1,vertical_v1,pain_v1,reasoning_v1,score_v2,vertical_v2,pain_v2,reasoning_v2,pts_tamaño,pts_holding,pts_trabajadores,pts_regulacion,pts_proveedores
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,Cliente,Utilities / Infraestructura,3,2,4987,42,manufactura,Verificación de proveedores en transporte masivo sin regulación compliance obligatoria específica,"Empresa grande (Tramo 13) con potencial alto volumen de proveedores en transporte (+15 puntos estimado). Sin embargo, el transporte urbano no tiene obligación legal de compliance KYB como sectores regulados (financiero, minería, utilities) (-30 puntos). No hay señal reciente de urgencia. Potencial moderado por tamaño y complejidad operativa, pero sin drivers regulatorios que aceleren venta.",89,otro,Gestión de riesgos en cadena de proveedores críticos de infraestructura de transporte público y cumplimiento regulatorio en contrataciones públicas,"Metro S.A. es regulada por la SEC (empresa estatal de infraestructura crítica) por lo que suma 30 puntos en regulación. En proveedores, se estima entre 50-200 (contratistas de mantenimiento, operación, servicios) asignando 15 puntos. En señal, como empresa estatal sujeta a licitaciones públicas y potencial nueva regulación de transporte verde suma 15 puntos. Competencia en 0 (desconocido si utiliza herramientas especializadas). El modelo Utilities/Infraestructura no aplica (no regulada por SISS/SEC directamente) por lo que se clasifica como 'otro'.",90,Utilities/Infraestructura,"Gestión y evaluación de riesgos en una red compleja de proveedores de mantenimiento, operación y servicios especializados para infraestructura de transporte masivo","La empresa es Metro S.A., operador de transporte urbano masivo. Se clasifica en Utilities/Infraestructura por ser infraestructura crítica de transporte público. Está regulada por organismos como el Ministerio de Transportes y CNE (energía para operación), otorgando 15 puntos. Con 4,987 trabajadores, operación en dos regiones (XIII y probable expansión), infraestructura compleja y 3 empresas hijas, estima >200 proveedores en categorías como mantenimiento, suministros, seguridad y servicios especializados (25 puntos). Sin señal externa reportada (0 puntos).",20,15,10,15,25
ESVAL S.A.,76000739-0,Cliente,Utilities / Infraestructura,0,2,853,65,utilities,Verificación de proveedores en sector regulado por SISS sin automatización,"ESVAL es empresa de utilities (agua potable) regulada por SISS, lo que genera obligación de compliance (+30). Gran empresa (tramo 13 SII) con presumiblemente >200 proveedores en cadena de suministro de tratamiento y distribución (+25). Tamaño empresa grande (+20). Sin señal reciente identificada (0). No hay información de competidor actual, asumiendo no adopción (-10). Score refleja alto potencial regulatorio pero falta urgencia de trigger comercial.",72,utilities,Gestión de riesgos en cadena de proveedores críticos de servicios de agua y cumplimiento normativo de regulación SISS,"ESVAL es una empresa de servicios de agua regulada por SISS (Superintendencia de Servicios Sanitarios), lo que asigna 30 puntos en regulación. Por ser gran empresa (tramo 13), se estima cartera de proveedores en rango 50-200, asignando 15 puntos. No hay señales de licitación, multas, M&A o nueva regulación identificadas (0 puntos). Competencia desconocida (0 puntos). Segmento: Utilities/Infraestructura por naturaleza de operación de captación, tratamiento y distribución de agua.",73,Utilities/Infraestructura,Gestión y evaluación de riesgos de compliance en una cadena extensa de proveedores críticos para la continuidad del servicio de agua potable,"ESVAL es una empresa de captación, tratamiento y distribución de agua potable, claramente clasificable en Utilities/Infraestructura. Como empresa de servicios básicos regulada, está sujeta a regulación de la Superintendencia de Servicios Sanitarios (15 puntos). Dada su naturaleza de operador de infraestructura crítica con 853 trabajadores (gran empresa), requiere una cadena de suministro compleja con más de 200 proveedores especializados en equipos, químicos, mantenimiento y servicios (25 puntos). No hay señal externa reportada (0 puntos). El pain point principal es la debida diligencia continua de proveedores en un sector altamente regulado donde los riesgos de compliance y operacionales son críticos.",20,0,8,15,25
SOPROLE S.A.,76101812-4,Cliente,Manufactura / Retail,3,1,1462,42,manufactura,Verificación de proveedores en cadena de suministro alimentaria con requisitos sanitarios y trazabilidad.,"SOPROLE es gran empresa (tramo 13) con alto volumen de proveedores esperado en industria láctea (~25 pts tamaño + ~15 pts proveedores 50-200). Sin embargo, no tiene regulación compliance obligatoria específica como financiero/minería (-30 pts potencial). Industria alimentaria requiere cumplimientos sanitarios pero no KYB obligatorio CMF/SEC/Sernageomin. Sin señal reciente visible. Score moderado por tamaño y complejidad operativa, pero limitado por ausencia de drivers regulatorios críticos de Plutto.",61,manufactura,"Evaluación y monitoreo de riesgos en su extensa cadena de proveedores de materias primas lácteas, insumos y distribución; cumplimiento normativo en food safety y trazabilidad de productos.","SOPROLE es una gran empresa manufacturera de productos lácteos. Se clasifica en Manufactura por su giro de elaboración de alimentos. En regulación: no hay evidencia de regulación específica tipo CMF/SISS/SEC que obligue KYB formal = 0 puntos. En proveedores: como empresa grande del sector lácteo con operaciones nacionales, se estima base de >200 proveedores (productores de leche, distribuidores, insumos) = +35 puntos máximo. En señal: sin información de licitación, multa, M&A o nueva regulación = 0 puntos. En competencia: sin información sobre herramientas de compliance usadas = 0 puntos (desconocido).",75,Manufactura Retail,Gestión y evaluación de riesgos en cadena de suministro de proveedores de materias primas e ingredientes lácteos a nivel nacional,"SOPROLE es una gran empresa manufacturera (1462 trabajadores) dedicada a elaboración de productos lácteos, clasificada en vertical Manufactura Retail. No está bajo regulación específica de CMF, Sernageomin, SEC o CNE (no es financiera, minera ni energética). Como empresa de manufactura de alimentos a escala industrial con 3 filiales, probablemente maneja más de 200 proveedores (productores de leche, insumos, distribuidores). Sin señal externa reportada. El pain_point principal es la evaluación eficiente de proveedores en su cadena de suministro, donde Plutto agrega valor en detección de riesgos y debida diligencia.",20,15,10,0,25
INTERCHILE S.A.,76257379-2,Cliente,Mining / Energía,1,2,122,65,utilities,Verificación de proveedores y cumplimiento normativo SEC/CNE en transmisión eléctrica,Empresa regulada (SEC/CNE) con obligación compliance (+30). Gran empresa tramo 13 (+20). Sector utilities maneja volumen significativo de proveedores/contratistas (+15). Sin señal de urgencia inmediata (-10) ni información sobre competidores actuales (0). Total: 55 base + ajuste por tamaño y regulación = 65.,72,utilities,"Gestión de riesgos y debida diligencia en cadena de proveedores del sector eléctrico regulado, cumplimiento normativo con SEC y evaluación de contrapartes críticas para continuidad operacional","INTERCHILE es transmisora de energía eléctrica, claramente regulada por SEC/CNE (30 pts regulación). Como empresa de infraestructura crítica, típicamente opera con 50-200 proveedores en mantenimiento, suministros y servicios especializados (15 pts proveedores). Sin señales públicas de licitaciones, multas o M&A recientes (0 pts señal). No se especifica uso de herramientas de compliance, asumiendo desconocido (0 pts competencia). Segmento: Utilities/Infraestructura por naturaleza de transmisión eléctrica regulada.",61,Mining/Energía,"Gestión y evaluación de riesgos en la cadena de suministro de proveedores críticos para operaciones de transmisión eléctrica, considerando requisitos regulatorios de la CNE.","INTERCHILE S.A. opera en transmisión de energía eléctrica, clasificándose en Mining/Energía. Como empresa del sector energético, está regulada por la CNE (Comisión Nacional de Energía), otorgando 15 puntos en regulación. Con 122 trabajadores (gran empresa) y estructura de 2 empresas padres, típicamente maneja entre 50-200 proveedores (15 puntos). Sin señal externa reportada (0 puntos). El pain_point identificado es la evaluación de proveedores en un sector altamente regulado y crítico para la infraestructura nacional.",20,3,3,15,15
CONSTRUCTORA ASFALCURA SPA,76298660-4,Cliente,Manufactura / Retail,3,1,433,42,manufactura,Verificación de proveedores y subcontratistas en proyectos de construcción vial,"Empresa de construcción (Tramo 12 = mediana-grande, +12). Sector construcción maneja múltiples proveedores/subcontratistas típicamente 50-200 (+15). No tiene compliance obligatorio regulatorio como financiero/minería (+0). Sin señal de evento urgente (+0). Sin información de competencia actual, se asume potencial (+0). Score base: 27 puntos + ajuste por volumen proveedores estimado = 42.",56,otro,"Evaluación de proveedores y subcontratistas en proyectos de infraestructura vial, con énfasis en cumplimiento normativo y detección de riesgos en cadena de suministro de construcción","Constructora clasificada en segmento 'Otro' (construcción de carreteras no es Financiero, Mining, Utilities puro ni Manufactura/Retail). Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: +15 puntos (rango 50-200, típico en constructoras que requieren múltiples subcontratistas especializados). Señal: +15 puntos (proyectos de construcción de carreteras implican licitaciones públicas, principal mecanismo de adjudicación en obras viales). Competencia: 0 puntos (desconocido si utiliza herramientas de cumplimiento específicas).",85,Utilities/Infraestructura,"Gestión y evaluación de riesgos en una cadena compleja de proveedores y subcontratistas de construcción, así como cumplimiento normativo en proyectos de infraestructura pública.","La empresa se clasifica en Utilities/Infraestructura por su giro específico en construcción de carreteras y líneas de ferrocarril, que son proyectos de infraestructura crítica. Está regulada por entidades como el MOP (Ministerio de Obras Públicas) y potencialmente SEC/Sernageomin en ciertos contextos, sumando 15 puntos. Con 433 trabajadores y 3 empresas hijas, es una gran constructora que típicamente maneja >200 proveedores en proyectos de infraestructura (25 puntos). No hay señal externa reportada (0 puntos). El pain point principal es la evaluación de riesgos de una cadena extensa de proveedores y cumplimiento regulatorio.",20,15,5,15,25
TECNO FAST S.A.,76320186-4,Cliente,Mining / Energía,6,2,1361,17,manufactura,Verificación de proveedores en proyectos de construcción y acabado,"Empresa de construcción (terminación y acabado) sin regulación compliance obligatoria. Tramo 13 indica mediana empresa (+12). Sector construcción típicamente maneja 50-200 proveedores (+15). Sin señal de urgencia identificada (+0). No hay información de competidor actual (+0). Score bajo porque construcción no tiene obligación regulatoria KYB como financiero, minería o utilities.",39,otro,Evaluación y debida diligencia de subcontratistas y proveedores en proyectos de construcción para mitigar riesgos regulatorios y operacionales,"TECNO FAST S.A. opera en terminación y acabado de edificios (construcción), sector no regulado por SISS/SEC por lo que regulación = 0. Como gran empresa en este rubro, típicamente trabaja con 50-200 proveedores/subcontratistas especializados (maestros, materiales, servicios), asignando 15 puntos en proveedores. Sin señales de licitación, multas, M&A o nueva regulación identificadas = 0. Sin información sobre herramientas de compliance utilizadas = competencia 0. El sector construcción es de alto riesgo reputacional y legal, lo que hace critical la debida diligencia de contrapartes.",65,Manufactura Retail,Gestión de riesgos en cadena de suministro de materiales de construcción y subcontratistas especializados en acabados,"TECNO FAST S.A. opera en 'terminación y acabado de edificios', un segmento de la construcción que se alinea mejor con Manufactura Retail dado su enfoque en producción/servicios especializados. Como gran empresa (1361 trabajadores, 6 empresas hijas) en construcción, típicamente maneja entre 50-200 proveedores de materiales y subcontratistas. No está regulada por CMF, Sernageomin, SEC o CNE específicamente. Sin señales externas reportadas (N/A). El sector construcción requiere debida diligencia robusta en proveedores por riesgos laborales, financieros y reputacionales.",20,15,10,0,15
NS AGRO S.A.,76364071-K,Cliente,Financiero,2,8,131,65,financiero,Verificación de contrapartes y cumplimiento normativo CMF en operaciones de fondos de inversión,Empresa financiera regulada por CMF con obligación compliance (+30). Tamaño mediano-grande en tramo 12 (+12). Sector financiero típicamente maneja 50-200 proveedores/contrapartes (+15). Sin señal reciente identificada (+0). No se confirma uso de competidores (-10). Score refleja alta necesidad regulatoria pero sin urgencia inmediata.,76,financiero,"Verificación y debida diligencia de contrapartes (clientes, proveedores, beneficiarios finales) para cumplir con obligaciones de la CMF en prevención de lavado de activos y financiamiento del terrorismo","NS AGRO S.A. es clasificada como empresa del segmento Financiero (giro: 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES'). Regulación: +40 puntos (obligatoriamente regulada por CMF con deber de verificar contrapartes). Proveedores: +12 puntos (asumiendo rango 50-200 proveedores típicos de fondos/sociedades de inversión sin información específica). Señal: 0 puntos (sin licitación, multa, M&A o nueva regulación identificada). Competencia: 0 puntos (desconocido si usa herramientas de terceros).",64,Financiero,Gestión de debida diligencia en la evaluación de contrapartes financieras y entidades de inversión para cumplir con regulaciones de la CMF,"El giro 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES' clasifica claramente a NS AGRO S.A. en el vertical Financiero. Como entidad financiera regulada por CMF en Chile, obtiene 15 puntos en regulación. Con 131 trabajadores (gran empresa) y estructura compleja (2 filiales, 8 matrices), estima un manejo de 50-200 proveedores típico de intermediarios financieros, asignando 15 puntos. Sin señal externa reportada, 0 puntos en este campo. El tamaño y naturaleza regulada justifican prioridad como ICP.",20,8,3,15,15
BUDA.COM SPA,76415528-9,Cliente,Financiero,3,7,59,65,financiero,Verificación de contrapartes y cumplimiento normativo CMF en plataforma de mercados financieros,Regulación compliance obligatoria (+30) por ser administrador de mercados financieros bajo supervisión CMF. Gran empresa por tramo ventas 9 (+20). Volumen de proveedores estimado entre 50-200 proveedores típico del sector (+15). Sin señal reciente identificada. Potencial competidor existente (-10) por tamaño y sofisticación financiera que sugiere soluciones ya implementadas. Score refeja alto potencial regulatorio pero madurez operacional que reduce urgencia.,67,financiero,Cumplimiento regulatorio de debida diligencia sobre contrapartes y detección de riesgos en operaciones de mercados financieros,"BUDA.COM es administrador de mercados financieros regulado por CMF con obligación explícita de verificar contrapartes (40 pts). Como plataforma de trading crypto, opera con base de clientes 50-200 usuarios/contrapartes activas típicamente (12 pts). No hay señal de licitación, M&A o multa reciente identificada (0 pts). Desconocida estrategia de herramientas de compliance específicas (0 pts). Su naturaleza financiera regulada la clasifica en segmento Financiero.",63,Financiero,Gestión de debida diligencia en proveedores y contrapartes del ecosistema fintech; evaluación de riesgos de cumplimiento normativo ante reguladores como CMF.,"BUDA.COM es una plataforma de trading de criptoactivos y administración de mercados financieros, clasificada claramente en el vertical Financiero. Por su giro y operación en Chile, está sujeta a regulación de la CMF (Comisión para el Mercado Financiero) como intermediario de valores, otorgando 15 puntos. Dada su naturaleza de plataforma marketplace, maneja múltiples contrapartes (usuarios, proveedores de liquidez, partners tecnológicos) estimado entre 50-200 proveedores/partners críticos, justificando 15 puntos. Sin señal externa reportada (N/A), asigna 0 puntos. El tamaño mediano (59 empleados, 3 filiales) y estructura compleja refuerzan necesidad de soluciones de compliance.",12,15,3,15,15
ALISERVICE S.A.,76437608-0,Cliente,Financiero,0,2,1372,32,financiero,Verificación de identidad y antecedentes de clientes e inversores,Empresa de asesoría financiera con obligación CMF de cumplimiento KYB/KYC (+30). Tamaño mediano según tramo 11 (+12). Sin señales de urgencia inmediata. Volumen de proveedores probablemente bajo para consultora (+5). Score moderado: sector regulado pero tamaño y urgencia limitados para conversión inmediata.,76,financiero,"Evaluación y monitoreo de riesgo de contrapartes financieras (clientes, proveedores, colaboradores) cumpliendo obligaciones regulatorias de la CMF","ALISERVICE es una empresa de asesoría en inversión financiera regulada por CMF con obligación de verificar contrapartes (40 pts regulación). Sin información pública sobre número exacto de proveedores pero típico en consultoría financiera está en rango 50-200 (12 pts). No se detectan señales recientes de licitación, multa, M&A o nueva regulación (0 pts señal). Sin información sobre competencia o herramientas de due diligence utilizadas (0 pts competencia).",63,Financiero,Gestión de riesgo y cumplimiento normativo en la evaluación de clientes y contrapartes financieras ante regulación de la CMF,"Se clasifica como Financiero porque el giro explícitamente menciona 'ASESORÍA Y CONSULTORÍA EN INVERSIÓN FINANCIERA'. La empresa probablemente está regulada por la CMF (Comisión para el Mercado Financiero) dado su enfoque en inversiones financieras, por lo que suma 15 puntos. Como gran empresa (1372 trabajadores) con 2 empresas matrices, presumiblemente maneja entre 50-200 proveedores en su cadena de suministro y servicios, sumando 15 puntos. No hay señal externa reportada (N/A), por lo que suma 0 puntos. Su principal dolor sería la necesidad de debida diligencia robusta en contrapartes dada la regulación CMF.",20,0,10,15,15
CHITA SPA,76596744-9,Cliente,Financiero,0,5,65,42,financiero,Verificación de contrapartes y cumplimiento normativo CMF en servicios financieros,"Industria financiera con obligación compliance CMF (+30). Tamaño pequeño según tramo 10 SII (+5). Sin información de volumen de proveedores, asumiendo bajo por tamaño (+5). Sin señales de urgencia ni datos de competencia actual (0). Score conservador debido a tamaño empresa y falta de datos sobre complejidad operacional.",76,financiero,"Cumplimiento de obligaciones de debida diligencia sobre contrapartes (clientes, proveedores y colaboradores) conforme a regulación CMF; gestión centralizada de riesgos de compliance y detección de exposición a PEP, sanciones y antecedentes adversos.","CHITA SPA es clasificada en el segmento Financiero debido a su giro en 'OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS'. Regulación: +40 pts (regulada por CMF con obligación de verificar contrapartes). Proveedores: +12 pts (asumido rango 50-200 basado en tamaño de gran empresa, sin datos específicos). Señal: 0 pts (sin información de licitación, multa, M&A o nueva regulación). Competencia: 0 pts (información no disponible).",56,Financiero,Gestión y debida diligencia de múltiples proveedores y contrapartes financieras para cumplir normativas de la CMF,"CHITA SPA opera en 'Otras actividades de servicios financieros' (giro explícito) lo que la clasifica claramente en vertical Financiero. Como empresa de servicios financieros está probablemente regulada por CMF (15 puntos). Con 65 trabajadores (gran empresa) y 5 empresas padre, estimamos maneja entre 50-200 proveedores típico de empresas financieras medianas (15 puntos). Sin señal externa reportada (0 puntos). El pain_point se enfoca en que empresas financieras requieren evaluación continua de contrapartes para cumplir normativas CMF, caso de uso ideal para Plutto.",20,0,3,15,15
